node_id,temperature,humidity,pressure
6,25.041,40.734,101000.047
4,25.044,40.844,101000.453
5,25.221,40.397,101000.898
3,27.503,40.351,101000.008
2,25.094,40.460,101000.016
6,25.137,40.017,101001.055
4,26.988,41.299,101000.922
5,25.352,40.293,101002.094
3,25.336,40.097,101001.578
2,26.286,40.338,101000.172
6,25.146,40.008,101000.375
4,25.010,42.500,101000.031
5,25.198,40.101,101001.109
3,27.466,41.814,101000.047
2,27.364,40.166,101002.461
6,25.242,42.137,101001.414
4,26.623,40.193,101000.180
5,25.155,40.018,101002.352
3,27.408,42.463,101000.633
2,25.019,42.504,101000.102
6,26.913,41.925,101002.500
4,25.280,42.481,101000.148
5,25.007,42.372,101000.195
3,25.278,41.435,101000.016
2,27.486,40.103,101002.453
6,26.212,40.028,101002.398
4,25.075,42.423,101000.797
5,26.146,41.371,101001.766
3,25.109,40.104,101002.352
2,25.090,40.006,101001.984
6,25.264,40.019,101002.078
4,27.438,40.056,101000.031
5,25.191,40.518,101000.094
3,25.154,40.030,101001.992
2,26.301,40.498,101000.062
6,26.720,40.738,101000.195
4,25.181,42.002,101001.477
5,25.250,40.239,101001.609
3,26.902,40.067,101001.258
2,27.156,42.026,101000.375
6,27.487,41.722,101000.320
4,25.012,41.823,101001.883
5,25.060,40.336,101000.109
3,25.240,42.505,101002.359
2,25.109,42.464,101001.984
6,26.529,40.027,101000.852
4,27.502,40.967,101000.266
5,25.201,42.195,101000.812
3,25.817,40.551,101000.148
2,27.023,40.018,101000.055
6,25.417,40.930,101000.016
4,25.906,41.428,101002.508
5,25.080,40.051,101002.016
3,25.012,40.067,101000.047
2,27.125,40.048,101002.430
6,26.213,40.200,101000.336
4,25.029,40.018,101001.586
5,25.006,42.458,101000.070
3,25.417,40.029,101000.039
2,25.725,42.011,101000.367
6,25.975,41.696,101001.266
4,25.601,40.444,101000.664
5,26.263,40.675,101001.945
3,25.041,40.219,101000.016
2,25.092,41.967,101000.180
6,25.084,40.019,101000.047
4,25.006,40.852,101000.578
5,27.012,40.814,101002.312
3,25.008,40.925,101000.148
2,25.007,40.113,101002.508
6,25.014,42.422,101000.477
4,25.023,40.026,101001.000
5,25.008,40.319,101002.375
3,25.295,40.155,101000.375
2,25.033,41.439,101000.953
6,25.018,42.426,101001.695
4,25.015,41.822,101000.625
5,26.018,40.965,101000.031
3,27.471,40.008,101000.008
2,25.179,40.008,101000.008
6,25.018,40.261,101002.328
4,25.007,42.418,101000.289
5,27.506,40.153,101000.102
3,27.429,42.390,101000.031
2,25.967,40.922,101002.102
6,25.914,41.618,101002.391
4,26.529,40.188,101000.430
5,25.683,41.985,101002.391
3,25.275,41.833,101000.008
2,26.147,40.267,101000.438
6,27.139,42.422,101002.023
4,25.476,40.198,101000.172
5,26.327,40.047,101000.281
3,27.393,42.452,101000.008
2,25.181,41.831,101000.727
6,26.847,42.050,101002.000
4,26.945,40.026,101002.203
5,26.906,40.165,101000.023
3,25.442,40.329,101000.062
2,25.311,41.358,101000.078
6,25.232,40.044,101000.531
4,25.658,40.101,101001.602
5,25.544,40.398,101000.688
3,25.101,40.085,101000.070
2,25.019,40.729,101001.945
6,27.224,40.019,101001.484
4,25.158,40.328,101000.250
5,25.087,41.078,101000.078
3,27.041,40.080,101000.008
2,25.008,41.925,101000.242
6,25.175,42.414,101000.227
4,26.261,40.026,101002.445
5,26.374,40.027,101002.508
3,25.008,40.106,101002.102
2,25.028,41.877,101002.484
6,25.031,41.509,101000.008
4,27.485,40.012,101000.008
5,27.204,40.219,101000.891
3,26.493,40.058,101001.656
2,25.014,40.048,101001.602
6,25.167,40.087,101000.031
4,25.685,42.503,101000.016
5,25.050,42.493,101000.586
3,25.086,40.588,101001.500
2,25.835,41.568,101000.203
6,25.195,42.468,101001.070
4,27.117,40.020,101002.336
5,25.015,40.235,101001.141
3,26.118,40.504,101001.891
2,25.528,42.206,101000.336
6,25.021,40.015,101001.680
4,25.941,40.705,101000.164
5,25.040,40.008,101000.977
3,27.499,41.787,101000.289
2,27.285,41.459,101000.984
6,27.408,40.008,101000.227
4,25.300,42.340,101000.008
5,25.441,41.304,101002.172
3,25.860,41.865,101002.164
2,27.449,40.311,101000.016
6,27.058,40.009,101001.461
4,25.554,42.485,101000.688
5,26.341,40.007,101000.688
3,25.006,40.046,101000.008
2,27.482,40.923,101000.016
6,25.080,42.485,101002.195
4,25.006,40.012,101002.500
5,25.009,41.995,101001.852
3,25.508,41.230,101000.844
2,27.297,42.287,101000.125
6,25.170,40.023,101002.227
4,25.014,40.045,101000.344
5,25.018,40.037,101000.094
3,27.499,40.183,101002.281
