node_id,temperature,humidity,pressure
31,25.052,40.025,101000.109
2,25.016,42.010,101002.188
30,25.404,40.028,101002.398
6,25.007,41.044,101000.297
18,25.512,42.482,101000.859
4,26.118,40.265,101000.125
27,25.658,42.492,101000.422
7,27.410,42.380,101000.039
14,27.483,40.406,101000.008
15,25.196,42.260,101000.219
25,27.504,40.707,101000.047
20,25.013,40.057,101002.477
16,26.691,40.433,101001.508
10,25.009,40.217,101000.039
12,26.572,40.006,101000.148
29,25.173,41.647,101000.016
22,25.218,41.526,101000.062
26,27.132,41.447,101000.055
9,25.737,40.080,101002.500
5,27.328,40.006,101000.188
19,25.009,41.551,101000.258
17,25.245,41.388,101000.141
13,25.334,42.425,101002.219
3,25.055,42.408,101000.117
21,25.176,40.709,101000.930
23,25.748,42.039,101002.188
24,25.050,40.262,101000.555
8,27.466,41.342,101000.406
28,27.226,40.389,101002.398
11,25.053,41.730,101000.078
31,25.198,40.272,101000.297
2,27.223,41.019,101000.078
30,25.013,40.702,101000.008
6,27.474,40.006,101000.102
18,26.266,40.017,101001.906
4,26.882,40.013,101002.484
27,27.504,41.744,101002.312
7,25.500,42.090,101000.500
14,25.747,41.657,101001.211
15,26.529,41.514,101000.039
25,26.550,40.019,101002.070
20,27.321,40.317,101002.508
16,26.926,40.303,101000.055
10,27.384,40.664,101000.117
12,25.010,41.278,101001.117
29,27.287,40.007,101001.445
22,25.133,40.853,101002.055
26,25.017,41.728,101001.414
9,27.116,42.349,101000.078
5,26.812,40.263,101001.320
19,26.430,41.908,101000.031
17,25.007,40.787,101000.648
13,25.886,40.037,101000.352
3,25.252,41.946,101001.219
21,27.340,40.017,101001.914
23,25.047,42.405,101002.203
24,25.069,41.723,101002.047
8,25.013,40.155,101000.023
28,27.448,40.040,101000.945
11,26.651,40.699,101001.828
31,25.248,42.415,101000.234
2,26.057,41.551,101000.977
30,25.087,40.799,101000.023
6,26.336,42.442,101000.391
18,25.034,40.007,101000.273
4,26.534,42.459,101000.023
27,27.458,40.377,101000.039
7,25.713,40.151,101000.039
14,25.041,40.016,101000.695
15,25.022,40.026,101001.805
25,25.033,40.016,101001.219
20,27.389,42.057,101000.117
16,25.098,42.505,101000.086
10,25.101,40.074,101000.031
12,26.906,40.038,101000.508
29,25.865,41.416,101000.133
22,25.425,41.601,101002.508
26,26.404,41.534,101000.055
9,25.918,40.012,101001.000
5,25.051,40.381,101000.359
19,26.559,40.047,101000.789
17,25.328,41.148,101001.602
13,26.248,40.328,101000.117
3,27.314,42.501,101002.141
21,25.290,40.443,101000.688
23,25.013,42.241,101000.719
24,25.226,40.015,101000.008
8,26.264,42.373,101000.492
28,25.484,41.835,101000.039
11,25.053,41.272,101000.172
31,25.049,40.050,101002.031
2,25.738,41.324,101000.117
30,25.084,41.807,101000.445
6,25.268,40.741,101000.250
18,27.463,41.068,101000.047
4,25.062,40.006,101000.758
27,25.204,42.506,101000.062
7,26.878,40.124,101000.016
14,27.155,40.006,101000.289
15,25.762,41.916,101000.008
25,25.033,40.029,101000.047
20,26.826,40.006,101000.023
16,25.006,41.335,101000.375
10,27.053,41.612,101002.453
12,25.010,41.141,101000.234
29,25.431,40.577,101000.047
22,25.938,40.123,101000.164
26,25.378,40.024,101001.258
9,25.703,40.056,101000.023
5,25.113,42.085,101000.141
19,25.372,41.068,101002.500
17,25.025,42.353,101000.484
13,26.982,40.646,101000.695
3,25.050,42.502,101000.008
21,25.145,42.161,101000.008
23,25.037,40.016,101002.234
24,25.726,42.461,101000.008
8,25.867,41.362,101000.703
28,25.007,40.017,101000.008
11,27.311,40.011,101000.086
31,27.358,40.048,101002.500
2,27.306,40.268,101000.344
30,25.336,40.204,101000.586
6,26.417,40.528,101000.922
18,25.645,42.061,101000.336
4,25.041,42.450,101002.391
27,27.460,42.366,101002.492
7,26.175,40.037,101000.008
14,27.203,40.411,101000.328
15,25.011,42.204,101000.008
25,26.888,40.608,101000.211
20,27.482,40.904,101000.492
16,27.501,40.885,101000.008
10,27.367,40.843,101002.383
12,26.650,40.060,101000.148
29,25.123,42.478,101000.336
22,25.037,40.016,101002.172
26,25.020,40.017,101000.297
9,27.410,42.506,101000.055
5,26.295,40.015,101000.062
19,25.468,40.094,101001.156
17,27.331,40.019,101001.906
13,26.333,41.019,101000.742
3,25.013,40.175,101000.008
21,26.704,40.047,101001.688
23,25.231,40.312,101000.508
24,25.019,40.536,101002.195
8,25.159,41.851,101000.016
28,26.137,40.441,101001.188
11,27.267,42.495,101001.977
31,25.234,40.447,101002.164
2,25.011,40.134,101002.383
30,25.240,40.678,101000.008
6,26.832,40.013,101000.008
18,25.233,40.092,101000.281
4,25.678,42.506,101000.031
27,25.690,40.022,101001.297
7,26.767,40.119,101000.047
14,27.448,40.332,101000.031
15,26.259,41.683,101000.227
25,26.856,40.045,101000.008
20,25.082,40.271,101002.398
16,25.006,40.342,101000.727
10,26.090,42.274,101000.797
12,25.448,41.297,101000.281
29,26.491,42.356,101000.062
22,25.197,40.898,101002.148
26,25.029,41.645,101000.055
9,26.498,40.075,101001.961
5,27.274,40.013,101000.125
19,25.269,40.222,101000.062
17,25.016,40.798,101000.156
13,25.099,40.016,101002.352
3,26.845,42.474,101000.281
21,26.932,40.179,101001.852
23,25.042,41.827,101000.523
24,25.263,41.385,101001.891
8,27.263,42.463,101000.352
28,25.626,41.016,101000.414
11,25.533,40.519,101000.016
31,25.577,40.024,101000.086
2,25.437,41.004,101000.023
30,25.007,40.379,101000.062
6,25.218,40.038,101000.375
18,25.403,42.456,101000.570
4,25.661,42.282,101001.789
27,25.236,41.664,101000.828
7,25.470,40.012,101000.539
14,25.306,40.008,101000.023
15,26.151,40.027,101000.031
25,25.019,40.059,101000.922
20,25.049,40.938,101000.094
16,25.178,40.075,101000.617
10,26.096,40.076,101001.422
12,25.532,41.603,101001.133
29,25.027,41.517,101002.414
22,27.115,41.067,101000.672
26,27.250,40.760,101000.383
9,25.044,41.835,101002.500
5,25.028,41.860,101001.430
19,25.008,40.511,101001.469
17,25.081,42.185,101001.852
13,25.016,40.043,101001.484
3,27.457,40.738,101001.789
21,26.666,40.006,101000.445
23,25.009,41.545,101000.625
24,25.013,42.292,101002.125
8,25.423,42.457,101000.242
28,27.284,41.869,101002.492
11,27.435,40.060,101000.016
31,26.676,40.007,101000.008
2,25.019,42.489,101001.430
30,27.303,42.507,101000.258
6,27.425,40.507,101002.297
18,26.240,40.318,101000.016
4,27.000,40.942,101002.156
27,25.340,41.482,101002.367
7,26.001,42.305,101000.664
14,27.355,42.364,101001.195
15,25.012,41.189,101000.156
25,25.184,41.526,101001.828
20,25.064,40.019,101000.141
16,25.634,40.302,101001.523
10,27.129,40.923,101000.227
12,27.380,40.009,101002.031
29,25.007,40.013,101000.008
