Protocol,Src IP,Src Port,Dst IP,Dst Port,Init Ts,Last Ts,Ts,Duration,Mac Addr,Type
ICMPv6,fe80::212:7401:1:101,0,ff02::1a,0,30:47.7,30:47.7,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7406:6:606,0,30:49.7,30:49.9,1622120000000000.0,234361,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7403:3:303,0,30:49.7,30:49.9,1622120000000000.0,234360,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:740a:a:a0a,0,30:49.7,30:49.9,1622120000000000.0,179673,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:740b:b:b0b,0,30:49.7,30:49.9,1622120000000000.0,179673,"{'00:12:74:01:00:01:01:01', '00:12:74:0b:00:0b:0b:0b'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7405:5:505,0,30:49.7,30:49.9,1622120000000000.0,179673,"{'00:12:74:01:00:01:01:01', '00:12:74:05:00:05:05:05'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7404:4:404,0,30:49.7,30:49.9,1622120000000000.0,179673,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7408:8:808,0,30:49.8,30:49.9,1622120000000000.0,93750,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
ICMPv6,fe80::212:7401:1:101,0,fe80::212:7407:7:707,0,30:49.8,30:51.7,1622120000000000.0,1906265,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
WPAN,0,0,0,0,30:49.9,30:53.7,1622120000000000.0,3833361,set(),Normal
ICMPv6,::212:7401:1:101,0,::212:7408:8:808,0,30:53.7,30:53.7,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7408:8:808,0,30:53.7,30:53.7,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
UDP,::212:7401:1:101,5555,::212:7408:8:808,6666,30:55.0,30:59.5,1622120000000000.0,4460930,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
WPAN,0,0,0,0,30:55.0,30:59.6,1622120000000000.0,4539691,set(),Normal
ICMPv6,::212:7401:1:101,0,::212:740a:a:a0a,0,30:55.3,30:55.3,1622120000000000.0,0,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,::212:7401:1:101,0,::212:740a:a:a0a,0,30:55.3,30:55.3,1622120000000000.0,0,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7404:4:404,0,30:55.3,30:55.3,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7404:4:404,0,30:55.4,30:55.4,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
ICMPv6,fe80::212:7408:8:808,0,ff02::1a,0,30:56.0,30:56.0,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:08:00:08:08:08'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7407:7:707,0,30:56.1,30:56.1,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7407:7:707,0,30:56.1,30:56.1,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7401:1:101,0,ff02::1a,0,30:57.0,30:57.0,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,fe80::212:7404:4:404,0,ff02::1a,0,30:57.4,30:57.4,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:04:00:04:04:04'}",Normal
ICMPv6,fe80::212:7402:2:202,0,fe80::212:7408:8:808,0,30:58.0,31:00.6,1622120000000000.0,2609359,"{'00:12:74:08:00:08:08:08', '00:12:74:02:00:02:02:02'}",Normal
ICMPv6,fe80::212:7405:5:505,0,fe80::212:7408:8:808,0,30:58.4,31:02.7,1622120000000000.0,4328125,"{'00:12:74:08:00:08:08:08', '00:12:74:05:00:05:05:05'}",Normal
ICMPv6,fe80::212:740a:a:a0a,0,ff02::1a,0,30:58.9,30:58.9,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:0a:00:0a:0a:0a'}",Normal
ICMPv6,fe80::212:7407:7:707,0,ff02::1a,0,30:59.7,30:59.7,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7404:4:404,6666,31:00.4,31:04.6,1622120000000000.0,4250016,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
WPAN,0,0,0,0,31:00.4,31:05.1,1622120000000000.0,4768880,set(),Normal
ICMPv6,fe80::212:7406:6:606,0,fe80::212:7407:7:707,0,31:00.5,31:00.6,1622120000000000.0,117187,"{'00:12:74:06:00:06:06:06', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7403:3:303,0,fe80::212:7407:7:707,0,31:00.5,31:00.6,1622120000000000.0,124985,"{'00:12:74:03:00:03:03:03', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:740a:a:a0a,6666,31:00.6,31:00.6,1622120000000000.0,5607,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
UDP,::212:7401:1:101,5555,::212:7407:7:707,6666,31:01.0,31:01.0,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7407:7:707,0,fe80::212:740b:b:b0b,0,31:01.4,31:03.6,1622120000000000.0,2234375,"{'00:12:74:0b:00:0b:0b:0b', '00:12:74:07:00:07:07:07'}",Normal
