icmpv6,udp,wpan,src_mac,src_ip,src_port,dst_mac,dst_ip,dst_port,init_ts,last_ts,ts,duration,label
1,0,0,5194097224646913,fe80::212:7401:1:101,0,18446744073709551615,ff02::1a,0,1847700.0,1847700.0,1622120000000000.0,0,0
1,0,0,5194097224646913,fe80::212:7401:1:101,0,5194118699812358,fe80::212:7406:6:606,0,1849700.0,1849900.0,1622120000000000.0,234361,0
1,0,0,5194097224646913,fe80::212:7401:1:101,0,5194105814713091,fe80::212:7403:3:303,0,1849700.0,1849900.0,1622120000000000.0,234360,0
1,0,0,5194097224646913,fe80::212:7401:1:101,0,5194135879944714,fe80::212:740a:a:a0a,0,1849700.0,1849900.0,1622120000000000.0,179673,0
1,0,0,5194140174977803,fe80::212:7401:1:101,0,5194097224646913,fe80::212:740b:b:b0b,0,1849700.0,1849900.0,1622120000000000.0,179673,0
1,0,0,5194114404779269,fe80::212:7401:1:101,0,5194097224646913,fe80::212:7405:5:505,0,1849700.0,1849900.0,1622120000000000.0,179673,0
1,0,0,5194110109746180,fe80::212:7401:1:101,0,5194097224646913,fe80::212:7404:4:404,0,1849700.0,1849900.0,1622120000000000.0,179673,0
1,0,0,5194127289878536,fe80::212:7401:1:101,0,5194097224646913,fe80::212:7408:8:808,0,1849800.0,1849900.0,1622120000000000.0,93750,0
1,0,0,5194122994845447,fe80::212:7401:1:101,0,5194097224646913,fe80::212:7407:7:707,0,1849800.0,1851700.0,1622120000000000.0,1906265,0
0,0,1,0,0,0,0,0,0,1849900.0,1853700.0,1622120000000000.0,3833361,0
1,0,0,5194127289878536,::212:7401:1:101,0,5194097224646913,::212:7408:8:808,0,1853700.0,1853700.0,1622120000000000.0,0,0
1,0,0,5194127289878536,::212:7401:1:101,0,5194097224646913,::212:7408:8:808,0,1853700.0,1853700.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1855000.0,1859500.0,1622120000000000.0,4460930,0
0,0,1,0,0,0,0,0,0,1855000.0,1859600.0,1622120000000000.0,4539691,0
1,0,0,5194097224646913,::212:7401:1:101,0,5194135879944714,::212:740a:a:a0a,0,1855300.0,1855300.0,1622120000000000.0,0,0
1,0,0,5194097224646913,::212:7401:1:101,0,5194135879944714,::212:740a:a:a0a,0,1855300.0,1855300.0,1622120000000000.0,0,0
1,0,0,5194110109746180,::212:7401:1:101,0,5194097224646913,::212:7404:4:404,0,1855300.0,1855300.0,1622120000000000.0,0,0
1,0,0,5194110109746180,::212:7401:1:101,0,5194097224646913,::212:7404:4:404,0,1855400.0,1855400.0,1622120000000000.0,0,0
1,0,0,5194127289878536,fe80::212:7408:8:808,0,18446744073709551615,ff02::1a,0,1856000.0,1856000.0,1622120000000000.0,0,0
1,0,0,5194122994845447,::212:7401:1:101,0,5194097224646913,::212:7407:7:707,0,1856100.0,1856100.0,1622120000000000.0,0,0
1,0,0,5194122994845447,::212:7401:1:101,0,5194097224646913,::212:7407:7:707,0,1856100.0,1856100.0,1622120000000000.0,0,0
1,0,0,5194097224646913,fe80::212:7401:1:101,0,18446744073709551615,ff02::1a,0,1857000.0,1857000.0,1622120000000000.0,0,0
1,0,0,5194110109746180,fe80::212:7404:4:404,0,18446744073709551615,ff02::1a,0,1857400.0,1857400.0,1622120000000000.0,0,0
1,0,0,5194101519680002,fe80::212:7402:2:202,0,5194127289878536,fe80::212:7408:8:808,0,1858000.0,1860600.0,1622120000000000.0,2609359,0
1,0,0,5194114404779269,fe80::212:7405:5:505,0,5194127289878536,fe80::212:7408:8:808,0,1858400.0,1862700.0,1622120000000000.0,4328125,0
1,0,0,5194135879944714,fe80::212:740a:a:a0a,0,18446744073709551615,ff02::1a,0,1858900.0,1858900.0,1622120000000000.0,0,0
1,0,0,5194122994845447,fe80::212:7407:7:707,0,18446744073709551615,ff02::1a,0,1859700.0,1859700.0,1622120000000000.0,0,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1860400.0,1864600.0,1622120000000000.0,4250016,0
0,0,1,0,0,0,0,0,0,1860400.0,1865100.0,1622120000000000.0,4768880,0
1,0,0,5194122994845447,fe80::212:7406:6:606,0,5194118699812358,fe80::212:7407:7:707,0,1860500.0,1860600.0,1622120000000000.0,117187,0
1,0,0,5194122994845447,fe80::212:7403:3:303,0,5194105814713091,fe80::212:7407:7:707,0,1860500.0,1860600.0,1622120000000000.0,124985,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1860600.0,1860600.0,1622120000000000.0,5607,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1861000.0,1861000.0,1622120000000000.0,0,0
1,0,0,5194122994845447,fe80::212:7407:7:707,0,5194140174977803,fe80::212:740b:b:b0b,0,1861400.0,1863600.0,1622120000000000.0,2234375,0
1,0,0,5194122994845447,fe80::212:7407:7:707,0,5194131584911625,fe80::212:7409:9:909,0,1861700.0,1865100.0,1622120000000000.0,3368307,0
1,0,0,5194127289878536,fe80::212:7408:8:808,0,18446744073709551615,ff02::1a,0,1862700.0,1862700.0,1622120000000000.0,0,0
1,0,0,5194097224646913,::212:7401:1:101,0,5194118699812358,::212:7406:6:606,0,1862900.0,1862900.0,1622120000000000.0,12916,0
1,0,0,5194122994845447,::212:7401:1:101,0,5194097224646913,::212:7407:7:707,0,1862900.0,1866500.0,1622120000000000.0,3593750,0
1,0,0,5194122994845447,::212:7401:1:101,0,5194118699812358,::212:7406:6:606,0,1863000.0,1863000.0,1622120000000000.0,0,0
1,0,0,5194127289878536,::212:7401:1:101,0,5194097224646913,::212:7402:2:202,0,1863400.0,1863400.0,1622120000000000.0,12535,0
1,0,0,5194127289878536,::212:7401:1:101,0,5194097224646913,::212:7408:8:808,0,1863500.0,1865600.0,1622120000000000.0,2177764,0
1,0,0,5194101519680002,::212:7401:1:101,0,5194127289878536,::212:7402:2:202,0,1863500.0,1863500.0,1622120000000000.0,0,0
1,0,0,5194097224646913,::212:7401:1:101,0,5194105814713091,::212:7403:3:303,0,1864200.0,1864300.0,1622120000000000.0,49349,0
1,0,0,5194122994845447,::212:7401:1:101,0,5194105814713091,::212:7403:3:303,0,1864400.0,1864400.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7402:2:202,6666,1864900.0,1865000.0,1622120000000000.0,47568,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1865000.0,1865000.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194118699812358,::212:7406:6:606,6666,1865100.0,1865100.0,1622120000000000.0,45863,0
1,0,0,5194110109746180,fe80::212:7404:4:404,0,18446744073709551615,ff02::1a,0,1865200.0,1865200.0,1622120000000000.0,0,0
1,0,0,5194127289878536,::212:7401:1:101,0,5194097224646913,::212:7405:5:505,0,1865500.0,1865600.0,1622120000000000.0,81719,0
0,0,1,0,0,0,0,0,0,1865500.0,1870500.0,1622120000000000.0,4958599,0
1,0,0,5194101519680002,fe80::212:7402:2:202,0,18446744073709551615,ff02::1a,0,1865600.0,1865600.0,1622120000000000.0,0,0
1,0,0,5194114404779269,::212:7401:1:101,0,5194127289878536,::212:7405:5:505,0,1865700.0,1865700.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1866000.0,1866000.0,1622120000000000.0,45273,0
1,0,0,5194118699812358,fe80::212:7406:6:606,0,18446744073709551615,ff02::1a,0,1866100.0,1866100.0,1622120000000000.0,0,0
1,0,0,5194140174977803,::212:7401:1:101,0,5194097224646913,::212:740b:b:b0b,0,1866400.0,1866500.0,1622120000000000.0,31668,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1866500.0,1871200.0,1622120000000000.0,4726563,0
1,0,0,5194122994845447,::212:7401:1:101,0,5194140174977803,::212:740b:b:b0b,0,1866600.0,1866600.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1866800.0,1866900.0,1622120000000000.0,25869,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1866900.0,1866900.0,1622120000000000.0,0,0
1,0,0,5194135879944714,fe80::212:740a:a:a0a,0,18446744073709551615,ff02::1a,0,1866900.0,1866900.0,1622120000000000.0,0,0
1,0,0,5194122994845447,fe80::212:7407:7:707,0,5194131584911625,fe80::212:7409:9:909,0,1867500.0,1868300.0,1622120000000000.0,782319,0
1,0,0,5194105814713091,fe80::212:7403:3:303,0,18446744073709551615,ff02::1a,0,1867700.0,1867700.0,1622120000000000.0,0,0
1,0,0,5194122994845447,fe80::212:7407:7:707,0,18446744073709551615,ff02::1a,0,1867800.0,1867800.0,1622120000000000.0,0,0
1,0,0,5194114404779269,fe80::212:7405:5:505,0,18446744073709551615,ff02::1a,0,1867800.0,1867800.0,1622120000000000.0,0,0
0,1,0,5194140174977803,::212:7401:1:101,5555,5194097224646913,::212:740b:b:b0b,6666,1868800.0,1873800.0,1622120000000000.0,4976916,0
1,0,0,5194140174977803,fe80::212:740b:b:b0b,0,18446744073709551615,ff02::1a,0,1868900.0,1868900.0,1622120000000000.0,0,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1869300.0,1869300.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194118699812358,::212:7406:6:606,6666,1870200.0,1874800.0,1622120000000000.0,4627674,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7402:2:202,6666,1870500.0,1875200.0,1622120000000000.0,4750694,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1870800.0,1870800.0,1622120000000000.0,0,0
0,0,1,0,0,0,0,0,0,1870800.0,1875200.0,1622120000000000.0,4445653,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1871600.0,1876000.0,1622120000000000.0,4365452,0
1,0,0,5194097224646913,fe80::212:7401:1:101,0,18446744073709551615,ff02::1a,0,1871600.0,1871600.0,1622120000000000.0,0,0
1,0,0,5194097224646913,::212:7401:1:101,0,5194131584911625,::212:7409:9:909,0,1872200.0,1872200.0,1622120000000000.0,13650,0
1,0,0,5194122994845447,::212:7401:1:101,0,5194097224646913,::212:7407:7:707,0,1872300.0,1872300.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1872300.0,1877300.0,1622120000000000.0,4955537,0
1,0,0,5194122994845447,::212:7401:1:101,0,5194131584911625,::212:7409:9:909,0,1872300.0,1872300.0,1622120000000000.0,0,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1872700.0,1872700.0,1622120000000000.0,0,0
1,0,0,5194118699812358,fe80::212:7406:6:606,0,18446744073709551615,ff02::1a,0,1873900.0,1873900.0,1622120000000000.0,0,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1875000.0,1879900.0,1622120000000000.0,4945298,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194131584911625,::212:7409:9:909,6666,1875100.0,1879900.0,1622120000000000.0,4818291,0
1,0,0,5194101519680002,fe80::212:7402:2:202,0,18446744073709551615,ff02::1a,0,1875300.0,1875300.0,1622120000000000.0,0,0
1,0,0,5194105814713091,fe80::212:7403:3:303,0,18446744073709551615,ff02::1a,0,1875500.0,1875500.0,1622120000000000.0,0,0
0,0,1,0,0,0,0,0,0,1875900.0,1880700.0,1622120000000000.0,4779516,0
1,0,0,18446744073709551615,fe80::212:7409:9:909,0,5194131584911625,ff02::1a,0,1876000.0,1876000.0,1622120000000000.0,0,0
