ID,Latitude,Longitude,Day,Hour,Minute,Duration,RemainingTime,Resources,Coverage,Ligitimacy,OnPeakHours,GridNumber
1,49.61630059316106,6.096862052775305,2,9,49,10,10,1,100,False,True,139
4,49.61681924448669,6.097637223845932,2,8,17,50,50,7,100,False,True,139
10,49.63801411000503,6.125435256802399,2,12,57,20,20,8,100,False,False,202
14,49.616156037354116,6.119011786862046,2,9,34,50,50,8,100,False,True,141
15,49.61645309311207,6.097400916762409,1,8,19,20,20,10,100,False,True,139
19,49.635386449953174,6.117145596273443,2,11,21,60,60,9,100,False,False,186
53,49.6164930780825,6.097620148227323,1,14,30,10,10,7,100,False,False,139
55,49.61579121529756,6.118668714091636,1,11,31,50,50,10,100,False,False,141
58,49.59804108823289,6.099621993799061,2,8,35,60,60,8,100,False,True,94
72,49.59255357179913,6.140962708810516,1,11,11,60,60,10,100,False,False,84
76,49.63799079993606,6.125404418684808,2,11,28,20,20,9,100,False,False,202
81,49.615657123396055,6.118334372746539,1,9,59,30,30,8,100,False,True,141
92,49.635809034765074,6.116654965366899,1,10,11,60,60,7,100,False,True,201
104,49.59787266989706,6.099491098218608,2,8,8,30,30,10,100,False,True,94
128,49.592614277183365,6.140894053354376,2,10,16,10,10,8,100,False,True,84
133,49.635672743723795,6.116843202226946,2,7,8,30,30,10,100,False,True,186
153,49.63561736234314,6.116668601424117,1,14,24,10,10,2,100,False,False,186
158,49.61677402665102,6.096921130098541,2,9,31,40,40,10,100,False,True,139
175,49.61668664297111,6.097167542741722,2,11,48,40,40,8,100,False,False,139
180,49.59767366904926,6.099024041785488,1,11,57,10,10,9,100,False,False,94
199,49.635980401036825,6.11675224627027,2,10,12,40,40,7,100,False,True,201
206,49.63562732650166,6.11689658705258,1,10,5,60,60,7,100,False,True,186
209,49.61601219773425,6.118109705136168,1,15,55,10,10,9,100,False,False,141
219,49.5924720249885,6.14076089794012,2,8,15,60,60,8,100,False,True,84
225,49.59241008424509,6.141431932505028,2,15,55,60,60,8,100,False,False,84
236,49.635536601383194,6.116776167963149,1,10,19,20,20,8,100,False,True,186
242,49.61594890637927,6.118724745246401,2,7,44,50,50,7,100,False,True,141
250,49.61577810235117,6.118729333821435,2,9,17,30,30,8,100,False,True,141
256,49.63549752006362,6.116824086456276,2,10,30,60,60,9,100,False,True,186
273,49.63595390607878,6.117117131454567,1,9,17,30,30,10,100,False,True,201
274,49.63525339664731,6.1171076461607745,1,7,27,50,50,2,100,False,True,186
276,49.59781200108677,6.099793128321043,1,9,27,50,50,9,100,False,True,94
